X	Y	Z
5545165.043	7421931.927999999	167.1392126096
5545164.656	7421933.0370000005	167.190825524
5545164.177999999	7421934.085	167.170989524
5545163.76	7421935.1729999995	166.84050491440001
5545163.251	7421936.181	166.71694582880002
5545162.742000001	7421937.188999999	166.35642552399997
5545162.079	7421938.134	166.35192552400002
5545161.477999999	7421939.081	166.4429741336
5545160.907000001	7421940.107000001	166.5791283048
5545160.46	7421941.096	166.755264
5545159.981000001	7421942.164	167.4273692192
5545159.595	7421943.193	168.52640000000002
5545159.147000001	7421944.281	169.32307413360002
5545158.791	7421945.331	169.9290283048
5545158.342999999	7421946.399	170.2144409144
5545157.958	7421947.408	170.8888049144
5545157.541	7421948.457	171.498
5545157.094	7421949.426	172.87572350480002
5545156.739	7421950.435	173.5234955048
5545156.353999999	7421951.405	174.5404235048
5545156.062000001	7421952.396000001	175.7040436952
5545155.708	7421953.366	177.81175908560002
5545155.353999999	7421954.316000001	179.1317396952
5545154.969	7421955.266	180.13337939040002
5545154.585	7421956.235	180.1962923048
5545154.199	7421957.225	180.2573513904
5545153.815	7421958.175	180.3763243048
5545153.397999999	7421959.203	180.52063600000002
5545153.012999999	7421960.1729999995	180.57863600000002
5545152.566000001	7421961.181	180.4978396952
5545152.181	7421962.151000001	180.4674603048
5545151.703	7421963.1389999995	180.3365
5545151.288	7421964.069	180.40661169519998
5545150.779	7421965.076	180.4475206096
5545150.363	7421966.005	180.5286756952
